Movie_Names,Descriptions,Release_Dates,Director_Names,Ratings,Durations,Actors_list,Filming_Dates
Training Day,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,2001,Antoine Fuqua,7.7,122 min,"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn', 'Tom Berenger']",N/A
Todos lo saben,"Laura, a Spanish woman living in Buenos Aires, returns to her hometown outside Madrid with her two children to attend her sister's wedding. However, the trip is upset by unexpected events that bring secrets into the open.",2018,Asghar Farhadi,6.9,133 min,"['Penélope Cruz', 'Javier Bardem', 'Ricardo Darín', 'Eduard Fernández']",21 August 2017 - 30 November 2017
Drive,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,I 2011,Nicolas Winding Refn,7.8,100 min,"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston', 'Albert Brooks']",25 September 2010 - 12 November 2010
American Hustle,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.",2013,David O. Russell,7.2,138 min,"['Christian Bale', 'Amy Adams', 'Bradley Cooper', 'Jennifer Lawrence']",18 March 2013 - 19 May 2013
Now You See Me,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",I 2013,Louis Leterrier,7.2,115 min,"['Jesse Eisenberg', 'Common', 'Mark Ruffalo', 'Woody Harrelson']",16 January 2012
Bullitt,"An all-guts, no-glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.",1968,Peter Yates,7.4,114 min,"['Steve McQueen', 'Jacqueline Bisset', 'Robert Vaughn', 'Don Gordon']",12 February 1968 - 25 May 1968
In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",2008,Martin McDonagh,7.9,107 min,"['Colin Farrell', 'Brendan Gleeson', 'Ciarán Hinds', 'Elizabeth Berrington']",2 February 2007 - 28 March 2007
John Wick: Chapter 3 - Parabellum,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",2019,Chad Stahelski,7.4,130 min,"['Keanu Reeves', 'Halle Berry', 'Ian McShane', 'Laurence Fishburne']",5 May 2018 - 17 November 2018
"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",2000,Joel Coen,7.7,107 min,"['George Clooney', 'John Turturro', 'Tim Blake Nelson', 'John Goodman']",7 June 1999 - 23 August 1999
A Perfect World,"Kidnapped boy Phillip Perry (T.J. Lowther) strikes up a friendship with his captor Butch Haynes (Kevin Costner): an escaped convict on the run from the law, while the search is headed up by honorable Texas Ranger ""Red"" Garrett (Clint Eastwood).",1993,Clint Eastwood,7.5,138 min,"['Kevin Costner', 'Clint Eastwood', 'Laura Dern', 'T.J. Lowther']",29 April 1993 - 16 July 1993
